image_path,room_colors,wall_color
pinterest_images\image_20240923_151727_117811.jpg,"[(139, 116, 99), (91, 65, 49), (187, 185, 194), (148, 127, 110)]","(152, 133, 115)"
pinterest_images\image_20240923_151730_265093.jpg,"[(87, 83, 83), (165, 153, 121), (199, 229, 245), (190, 176, 166)]","(61, 56, 53)"
pinterest_images\image_20240923_151731_557299.jpg,"[(197, 158, 161), (229, 240, 230), (170, 128, 111), (197, 179, 164)]","(149, 129, 120)"
pinterest_images\image_20240923_151732_349306.jpg,"[(173, 142, 107), (255, 241, 210), (208, 196, 179), (151, 125, 103)]","(175, 153, 131)"
pinterest_images\image_20240923_151732_956396.jpg,"[(238, 227, 214), (139, 138, 136), (151, 134, 123), (196, 198, 199)]","(126, 120, 115)"
